open;close
69.6040000;69.3105000
69.4110000;68.8580000
68.9200000;69.2860000
69.2395000;69.3302000
69.3310000;69.1240000
69.1240000;69.1140000
69.1120000;68.0490000
68.0480000;68.0100000
68.1080000;67.8650000
67.8396000;67.9010000
67.9640000;68.0500000
68.1690000;68.2891000
68.3040000;68.3530000
68.4570000;68.6090000
68.6781000;68.2790000
68.2930000;68.2110000
68.2970000;68.2660000
68.3620000;68.5930000
68.6030000;68.5780000
68.6930000;68.3710000
68.4550000;68.5190000
68.6322000;68.4920000
68.5990000;69.3510000
69.3480000;68.5924000
68.6040000;68.7790000
68.7790000;69.7249000
69.7370000;70.9840000
70.7880000;70.9006000
70.9180000;70.3450000
70.3650000;69.4722000
69.4970000;69.0570000
69.0580000;69.4210000
69.5090000;70.2210000
70.1750000;70.0637000
70.1978000;69.9040000
69.8239000;69.0629000
69.0730000;68.8283000
68.8253000;68.8112000
68.9585000;68.7860000
68.7460000;68.7886000
68.7886000;68.8948000
68.8923000;68.9132000
68.7984000;68.7009000
68.6985000;69.1183000
69.1180000;69.5080000
69.4970000;69.6157000
69.6139000;70.9094000
70.9087000;71.0346000
70.9502000;71.2477000
71.1503000;72.9077000
72.8406000;73.5890000
73.7760000;74.1315000
74.1167000;73.9230000
73.8000000;73.8615000
73.8622000;73.6611000
73.6611000;75.8025000
75.8354000;77.3600000
77.3630000;81.9479000
81.9486000;84.9040000
84.8733000;80.6093000
80.6024000;81.6036000
82.0237000;83.8670000
83.7130000;80.4730000
81.0543000;81.6620000
81.5390000;82.9010000
82.9220000;82.2890000
82.7800000;88.5780000
88.1500000;84.1440000
84.0950000;85.5290000
85.2220000;86.0690000
86.0700000;85.2780000
85.4400000;84.5420000
84.2730000;85.3280000
85.2780000;85.3272000
85.4239000;87.7010000
87.7340000;88.3250000
88.4810000;87.7980000
87.8150000;86.4210000
86.2890000;86.1450000
86.2320000;83.6650000
83.5068000;82.6070000
83.3190000;83.2092000
83.2548000;81.9034000
81.9049000;82.1420000
82.1470000;81.5400000
81.2870000;81.2840000
81.1340000;80.3460000
80.5390000;79.9980000
79.9890000;80.1480000
80.0580000;80.2340000
80.1970000;81.7090000
81.6960000;79.8975000
79.8982000;80.3090000
80.5210000;80.4470000
80.4770000;81.9635000
81.9635000;83.7540000
83.2585000;82.0140000
81.7750000;80.1970000
80.5440000;80.5550000
80.7120000;80.3840000
80.5730000;80.3000000
80.3430000;79.9100000
80.4160000;79.4040000
79.4167000;81.3710000
81.3470000;82.6000000
82.8070000;82.5210000
82.5060000;81.1550000
81.1680000;79.6760000
79.6800000;80.5370000
80.5600000;80.0590000
80.0850000;79.4890000
79.4170000;79.5380000
79.5230000;79.4820000
79.4590000;79.7223000
79.7568000;79.9600000
79.9480000;79.7440000
79.7180000;79.3380000
79.6480000;79.5792000
79.6550000;79.1985000
79.1985000;79.2330000
79.2340000;78.1710000
78.1840000;77.4100000
77.7830000;77.9060000
77.8050000;77.9200000
77.9190000;77.9884000
77.9882000;77.5938000
77.6247000;78.0640000
78.0630000;78.1080000
78.1190000;77.9320000
78.0160000;77.8200000
77.8050000;76.8770000
76.7240000;76.7800000
76.7803000;76.6970000
76.9750000;78.1759000
78.1795000;77.4040000
77.0050000;77.0212000
77.1070000;76.9305000
76.9305000;77.6225000
77.6225000;77.9017000
77.9052000;78.9700000
79.0670000;78.6760000
78.4700000;78.2910000
78.2790000;78.8067000
78.7940000;78.2320000
78.2300000;78.3110000
78.3000000;78.1412000
78.3350000;77.5090000
77.6560000;77.8200000
77.9260000;77.6840000
77.6840000;77.6720000
77.6728000;78.1630000
78.1300000;77.3940000
77.3998000;78.2670000
78.2630000;78.0880000
78.2820000;78.7847000
78.8090000;79.8683000
79.9770000;79.4199000
79.4261000;78.9240000
78.9210000;80.1910000
80.2780000;80.2760000
80.2680000;81.1303000
81.2360000;80.5500000
80.5360000;80.7630000
80.7580000;79.8192000
79.8192000;79.9905000
80.0620000;79.9300000
80.0197000;80.2360000
80.4790000;81.0690000
80.8040000;80.9240000
81.0660000;81.3770000
81.3853000;82.1260000
82.0340000;82.2320000
82.1920000;81.5560000
81.6310000;81.4327000
81.4442000;82.3310000
82.3360000;82.7230000
82.5840000;83.3910000
83.5330000;83.5710000
83.6900000;84.2070000
84.2210000;84.8400000
84.8480000;85.4190000
85.4558000;87.0840000
87.2020000;87.4410000
87.4320000;87.2730000
86.9890000;85.8650000
85.8641000;86.6380000
86.6648000;86.4950000
86.4700000;86.9536000
86.9130000;86.9100000
86.8910000;86.5090000
86.5050000;86.1670000
86.3200000;85.6748000
85.6697000;86.8290000
86.8270000;86.1990000
86.1560000;86.2820000
86.2780000;86.4800000
86.4850000;87.3566000
87.3559000;87.1430000
87.1860000;86.6640000
86.7070000;87.6920000
87.7100000;88.1970000
88.2610000;88.0754000
88.0778000;87.7170000
87.7570000;89.0368000
89.0375000;89.2480000
89.5070000;88.6540000
88.6510000;88.0890000
88.1600000;88.1965000
88.1972000;88.1650000
87.8950000;87.6040000
87.5600000;89.1320000
89.0680000;88.9330000
89.2020000;89.1330000
89.0900000;89.2150000
88.9010000;89.3615000
89.3617000;89.7510000
89.7400000;88.8790000
88.8530000;88.8990000
88.8280000;88.5960000
88.8150000;88.7350000
88.7420000;89.1512000
89.2730000;88.7680000
88.7440000;88.1970000
88.3890000;88.5090000
88.8320000;89.6210000
89.5300000;89.4610000
89.4410000;89.2787000
89.2787000;89.0490000
89.0170000;89.5630000
89.5920000;89.9640000
89.9720000;90.8240000
90.9590000;90.7790000
90.7870000;92.2670000
92.2691000;92.4140000
92.4200000;90.8610000
91.0900000;90.7180000
90.4870000;91.6070000
91.6030000;91.4832000
91.4801000;91.9722000
91.9722000;92.0026000
92.0026000;91.7659000
91.6962000;90.8466000
90.8466000;90.6940000
90.7850000;90.5380000
90.7860000;90.9870000
90.5800000;90.3705000
90.3699000;91.3740000
91.4000000;91.2790000
91.1730000;91.1020000
91.2210000;91.1170000
91.1400000;91.3310000
91.3450000;91.3178000
91.3140000;90.9080000
90.8990000;90.4340000
90.3519000;90.2760000
90.2510000;90.3620000
90.2360000;90.0670000
90.2600000;90.9782000
90.9691000;92.8288000
92.7200000;91.8630000
92.0390000;92.5080000
91.6830000;92.1310000
92.1610000;93.8630000
93.3590000;92.8260000
92.9590000;90.8879000
90.8879000;90.7708000
90.7756000;91.8110000
91.9030000;91.9180000
91.9010000;90.0020000
90.2350000;90.2642000
90.2652000;90.4840000
90.4850000;91.0850000
91.1090000;91.3240000
91.5140000;91.6650000
91.4230000;90.3470000
90.3469000;90.4340000
90.4330000;89.9121000
89.9118000;90.7000000
90.3320000;90.0720000
90.5050000;90.3559000
90.3559000;90.0070000
90.0010000;89.6684000
89.6720000;89.9350000
90.0900000;90.0516000
90.0593000;90.9080000
90.7080000;90.7500000
90.6950000;91.0761000
91.0761000;91.6510000
91.6020000;90.8380000
91.0000000;90.2450000
90.5060000;89.6990000
89.6650000;89.7121000
89.7106000;89.3550000
89.3040000;88.6290000
88.8340000;88.9480000
88.9810000;88.6547000
88.6439000;88.3070000
88.4960000;88.5120000
88.7580000;89.3870000
89.4050000;88.9799000
88.9804000;89.2890000
89.4550000;89.3600000
89.6370000;89.6940000
89.5690000;90.0865000
90.0720000;91.4302000
91.4304000;92.4017000
92.4017000;91.4030000
91.5200000;90.0610000
90.2240000;90.2380000
90.0770000;90.2200000
90.3220000;90.0880000
90.7180000;90.3510000
90.5830000;91.4610000
91.4470000;90.1640000
90.1640000;90.1640000
90.5872000;91.1150000
91.0730000;91.2840000
91.2670000;91.2180000
91.3100000;91.4520000
91.4290000;91.2270000
91.5310000;90.2130000
90.7248000;90.0880000
90.1720000;90.7940000
90.7640000;89.5936000
89.5366000;89.8560000
89.6790000;89.1010000
88.9295000;88.5490000
88.7870000;88.9200000
88.9250000;89.2600000
89.2242000;89.5840000
89.5410000;89.0260000
89.0140000;89.9980000
90.0050000;91.4510000
91.6447000;91.7790000
91.6300000;91.3291000
91.3252000;91.1310000
91.1320000;91.7253000
91.7033000;92.1590000
92.1760000;91.8630000
92.1870000;91.9330000
91.9550000;91.8560000
91.7636000;91.6561000
91.6575000;91.2509000
91.2521000;90.3650000
90.2470000;89.8800000
90.1210000;89.8510000
89.9830000;89.6050000
89.5750000;89.4202000
89.4226000;89.4204000
89.4208000;89.2000000
89.1890000;89.2410000
89.3243000;89.0822000
89.0846000;88.8736000
88.8524000;88.8340000
88.8050000;88.6911000
88.6906000;89.2409000
89.2321000;89.7190000
89.6100000;89.8260000
89.7460000;90.3200000
90.3100000;89.8850000
89.8810000;89.3986000
89.4147000;90.7531000
90.7634000;89.5370000
90.1270000;90.1540000
89.8500000;89.3307000
89.3307000;89.0933000
89.0691000;89.0175000
89.0175000;89.1585000
89.1561000;88.2530000
88.4850000;88.2160000
88.2100000;88.1515000
88.1557000;88.0745000
88.0723000;87.6118000
87.6008000;87.8580000
87.8550000;87.5900000
87.6330000;87.6010000
87.6430000;86.7318000
86.7598000;86.6391000
86.6391000;88.2181000
88.2181000;88.5224000
88.5224000;88.1690000
88.3035000;88.2142000
88.2142000;89.2150000
89.2160000;90.3607000
90.2775000;90.4696000
90.4696000;89.5320000
89.5175000;89.5010000
89.5490000;89.1815000
89.1883000;89.0710000
89.0630000;88.9114000
88.9020000;88.6380000
88.7128000;89.8380000
89.6940000;89.9450000
89.8890000;89.9370000
89.9560000;90.2124000
90.4350000;91.5460000
91.5460000;91.6740000
91.6720000;91.5270000
91.5200000;92.0800000
92.0800000;92.0027000
92.0627000;92.0241000
92.0241000;90.7670000
90.7227000;91.1190000
91.1290000;90.9710000
90.9533000;90.7980000
90.8410000;90.9191000
90.9105000;91.7867000
91.8131000;92.3240000
92.7494000;92.0298000
92.1347000;90.5956000
90.5966000;90.4100000
90.5540000;90.6220000
90.4894000;90.5370000
90.5362000;90.4650000
90.4120000;90.1305000
90.1442000;90.4190000
90.4150000;90.4000000
90.4410000;90.1700000
90.4530000;90.1736000
90.1733000;89.8000000
89.8000000;89.7905000
89.7242000;89.4725000
89.4929000;89.4950000
89.6940000;89.4515000
89.4465000;90.0714000
90.0659000;89.9867000
89.9867000;89.9169000
89.9750000;89.3710000
89.3820000;89.7210000
89.8860000;90.0280000
90.0060000;89.6497000
89.6497000;90.0490000
89.9022000;89.6237000
89.6620000;89.7312000
89.7568000;89.6540000
89.6470000;89.5747000
89.5785000;89.6733000
89.6489000;89.9253000
89.9253000;89.5509000
89.5896000;89.4367000
89.4793000;89.2110000
89.3260000;89.0529000
89.2374000;89.7850000
89.7852000;89.7946000
89.7880000;89.2969000
89.2982000;88.7818000
88.6587000;88.4950000
88.6290000;88.7240000
88.8720000;88.7350000
88.7280000;87.9138000
87.9469000;88.0227000
88.0191000;87.3118000
87.3098000;87.1380000
87.0940000;87.2241000
87.2251000;87.2411000
87.2411000;87.4066000
87.5940000;86.9850000
86.8220000;86.0210000
86.3150000;86.2580000
86.3240000;86.4630000
86.4470000;87.1200000
86.9573000;86.8964000
86.8932000;86.6840000
86.6490000;86.1674000
86.1674000;86.1990000
86.1520000;86.2720000
86.2540000;85.9998000
